-180.00000000 -267.91748651
-165.00000000 -267.91702998
-150.00000000 -267.91512462
-135.00000000 -267.91256480
-120.00000000 -267.90995425
-105.00000000 -267.90812936
 -90.00000000 -267.90848062
 -75.00000000 -267.91039376
 -60.00000000 -267.91427642
 -45.00000000 -267.91916676
 -30.00000000 -267.92422618
 -15.00000000 -267.92788564
   0.00000000 -267.92912821
  15.00000000 -267.92788564
  30.00000000 -267.92422618
  45.00000000 -267.91916676
  60.00000000 -267.91427642
  75.00000000 -267.91039376
  90.00000000 -267.90848062
 105.00000000 -267.90812936
 120.00000000 -267.90995425
 135.00000000 -267.91256480
 150.00000000 -267.91512462
 165.00000000 -267.91702998
 180.00000000 -267.91748651

