-180.00000000 -590.48584163
-165.00000000 -590.48553570
-150.00000000 -590.48393386
-135.00000000 -590.48125983
-120.00000000 -590.47860954
-105.00000000 -590.47691676
 -90.00000000 -590.47729760
 -75.00000000 -590.47923062
 -60.00000000 -590.48344463
 -45.00000000 -590.48866214
 -30.00000000 -590.49385168
 -15.00000000 -590.49751790
   0.00000000 -590.49879155
  15.00000000 -590.49751790
  30.00000000 -590.49385168
  45.00000000 -590.48866214
  60.00000000 -590.48344463
  75.00000000 -590.47923062
  90.00000000 -590.47729760
 105.00000000 -590.47691676
 120.00000000 -590.47860954
 135.00000000 -590.48125983
 150.00000000 -590.48393386
 165.00000000 -590.48553570
 180.00000000 -590.48584163

